1,-1,1697,367,160.2,385.1,1
1,-1,1291,449,73.2,215,1
1,-1,1255,538,62.7,115.7,1
1,-1,248,435,129.4,272.9,0.999
1,-1,863,517,39.9,114.1,0.744
2,-1,265,442,108.6,272,1
2,-1,1251,529,64.7,130.5,1
2,-1,1695,386,150.8,353.3,1
2,-1,1295,461,72.6,204.5,1
2,-1,856,518,42.2,111.9,0.883
3,-1,1285,461,82.9,208.5,1
3,-1,1683,387,164.3,338.5,1
3,-1,262,456,106.4,253.2,1
3,-1,855,518,41.8,115.1,0.928
3,-1,1259,545,50.4,127.6,0.629
4,-1,1267,536,58,129.8,1
4,-1,266,453,104.6,257.3,1
4,-1,1288,459,85.8,201.9,1
4,-1,1693,388,166.6,345,1
4,-1,864,517,39.8,106.5,0.786
5,-1,1703,396,138,331.8,1
5,-1,1268,527,58.3,139,1
5,-1,268,452,100,256.4,1
5,-1,1298,456,74.5,210.9,1
5,-1,863,516,40.3,115.6,0.782
6,-1,1689,371,162.5,364.7,1
6,-1,273,454,100.5,253.1,1
6,-1,1296,457,84.7,209.2,1
6,-1,1263,538,62,119.5,1
6,-1,863,521,39,107.2,0.59
7,-1,263,437,105,292.6,1
7,-1,1303,464,78.7,196.2,1
7,-1,1274,531,51,134.2,1
7,-1,1676,373,163.2,357.1,1
8,-1,1670,378,165.7,383.8,1
8,-1,280,446,108.7,260.5,1
8,-1,1273,534,62,126.9,1
8,-1,1304,454,72.7,204.2,1
8,-1,109,492,89.1,251.4,0.454
9,-1,1682,374,163,383.8,1
9,-1,1275,532,53.3,127.2,1
9,-1,1300,444,81.1,213.7,1
9,-1,286,455,93.1,246.8,0.999
10,-1,1271,532,67.3,137.4,1
10,-1,1687,404,137.1,349.7,1
10,-1,1309,454,84.3,210.9,1
10,-1,270,445,117.3,272.1,0.999
11,-1,1666,382,172.2,365.3,1
11,-1,1277,535,64.4,134.6,1
11,-1,1305,451,85.2,213,1
11,-1,271,444,116.1,264.8,0.999
12,-1,1683,376,151.5,389.8,1
12,-1,1313,452,75.6,212.5,1
12,-1,1277,541,56,129,1
12,-1,283,437,109.4,269.3,0.999
12,-1,1805,442,65.4,186.9,0.538
12,-1,866,519,46.3,113.7,0.527
13,-1,285,438,106.5,265.9,1
13,-1,1287,534,51.1,130.5,1
13,-1,1678,388,147.4,371.2,1
13,-1,1307,454,76.8,208.5,1
13,-1,1798,442,68.8,189.8,0.924
13,-1,-84,234,327.5,709.4,0.566
13,-1,868,517,47,114.9,0.544
14,-1,1318,461,82.2,204,1
14,-1,1662,376,186.1,392,1
14,-1,1283,541,53,123.9,1
14,-1,292,447,105.6,265.5,0.999
14,-1,-68,226,291.8,675.6,0.657
14,-1,868,520,45.4,113.2,0.61
15,-1,1654,378,173.8,375.4,1
15,-1,1314,457,76.6,210.2,1
15,-1,296,444,94.7,262.7,0.999
15,-1,1285,531,48.3,128.4,0.999
15,-1,1796,441,68.7,173.9,0.972
15,-1,-85,212,336,714.8,0.45
16,-1,1666,367,188.4,377.6,1
16,-1,1322,455,81.9,206.9,1
16,-1,1291,530,53.7,132.7,1
16,-1,286,442,111.2,258.7,0.999
16,-1,-68,233,303.3,698.2,0.765
17,-1,1664,376,187.1,376.6,1
17,-1,282,442,122.9,277.3,1
17,-1,1309,461,87.6,206.3,1
17,-1,-74,235,330.7,673.3,0.675
17,-1,871,522,44.4,109.4,0.504
18,-1,1295,538,51,121,1
18,-1,1642,371,184.3,395.4,1
18,-1,1311,448,83.7,213.2,1
18,-1,293,442,105.5,255.5,0.999
18,-1,1796,443,74.4,176.4,0.998
18,-1,-71,222,331.8,721.6,0.96
19,-1,1649,366,184.6,402.5,1
19,-1,1321,451,81.9,212,1
19,-1,307,445,97.3,264,0.999
19,-1,1289,542,58.1,130.8,0.999
19,-1,1807,443,69.2,184.5,0.997
19,-1,-69,236,326.2,701.1,0.977
20,-1,1644,376,178.7,398.1,1
20,-1,1292,533,52.4,137.4,1
20,-1,1328,465,71.9,199,1
20,-1,299,441,98.1,250,0.999
20,-1,1801,440,72.8,180,0.999
20,-1,-74,226,357.5,729.8,0.981
21,-1,1295,536,53.7,130.3,1
21,-1,1645,363,173.1,391.2,1
21,-1,1803,440,70.4,176.8,1
21,-1,1328,466,69.5,196.9,1
21,-1,317,443,86.6,268.5,0.999
21,-1,-77,237,366.6,728.5,0.978
22,-1,1294,536,61.1,131.2,1
22,-1,1327,456,67.2,205.9,1
22,-1,1635,385,192.4,389,1
22,-1,1799,437,71.3,188.5,1
22,-1,306,445,96.9,256.6,0.999
22,-1,-63,241,361.1,698,0.987
